epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,5602.02,1.57395,1.57002,1.63552,0.64777,0.67015,0.68487,0.41289,1.53061,1.30517,1.46292,0.0002674,0.0002674,0.0002674
113,5652.26,1.58689,1.55799,1.64708,0.63018,0.68702,0.67106,0.40115,1.55029,1.36868,1.4773,0.0002608,0.0002608,0.0002608
114,5701.9,1.56575,1.55599,1.62151,0.66929,0.6667,0.68074,0.40183,1.5374,1.37021,1.4707,0.0002542,0.0002542,0.0002542
115,5751.8,1.58026,1.57428,1.65176,0.66071,0.66563,0.69872,0.40911,1.57961,1.36,1.49781,0.0002476,0.0002476,0.0002476
116,5801.65,1.55294,1.57108,1.62682,0.68022,0.66506,0.68776,0.41415,1.55231,1.34346,1.46889,0.000241,0.000241,0.000241
117,5851.7,1.55853,1.55248,1.61916,0.69223,0.68569,0.71306,0.4354,1.50186,1.29504,1.44245,0.0002344,0.0002344,0.0002344
118,5901.86,1.58583,1.58143,1.64007,0.67393,0.69529,0.70572,0.42698,1.53583,1.3099,1.45991,0.0002278,0.0002278,0.0002278
119,5951.83,1.55661,1.55311,1.62397,0.70631,0.68227,0.71764,0.4361,1.53506,1.26859,1.44054,0.0002212,0.0002212,0.0002212
120,6001.86,1.5315,1.51043,1.62579,0.67364,0.68255,0.71704,0.43002,1.55682,1.26814,1.48095,0.0002146,0.0002146,0.0002146
121,6051.83,1.54788,1.54242,1.61259,0.72814,0.67295,0.72507,0.43701,1.52862,1.27208,1.45468,0.000208,0.000208,0.000208
122,6102.02,1.52858,1.51413,1.61644,0.70881,0.7059,0.74232,0.44858,1.51258,1.2476,1.44841,0.0002014,0.0002014,0.0002014
123,6152.14,1.53517,1.5321,1.59642,0.71402,0.71008,0.73293,0.43716,1.50414,1.23273,1.4305,0.0001948,0.0001948,0.0001948
124,6201.97,1.54247,1.50991,1.61649,0.71422,0.71462,0.74726,0.45085,1.50414,1.21761,1.42567,0.0001882,0.0001882,0.0001882
125,6252.25,1.51706,1.48058,1.59057,0.73373,0.69622,0.74843,0.46238,1.47266,1.21522,1.41843,0.0001816,0.0001816,0.0001816
126,6302.16,1.53406,1.50987,1.59998,0.74425,0.70139,0.74218,0.45907,1.46345,1.22567,1.41412,0.000175,0.000175,0.000175
127,6352.04,1.52227,1.49127,1.60454,0.72913,0.71715,0.74624,0.46161,1.47397,1.2141,1.42597,0.0001684,0.0001684,0.0001684
128,6401.87,1.54384,1.51452,1.60483,0.7365,0.70961,0.75333,0.45802,1.46955,1.23354,1.42025,0.0001618,0.0001618,0.0001618
129,6451.89,1.49752,1.486,1.57861,0.73856,0.71858,0.75325,0.46583,1.45805,1.2138,1.4102,0.0001552,0.0001552,0.0001552
130,6501.97,1.50657,1.47025,1.58033,0.72644,0.70948,0.74309,0.47197,1.45586,1.20874,1.41834,0.0001486,0.0001486,0.0001486
131,6551.89,1.52457,1.45274,1.5921,0.76954,0.72833,0.75997,0.46565,1.46805,1.18401,1.41008,0.000142,0.000142,0.000142
132,6601.91,1.50615,1.48167,1.57942,0.75488,0.73875,0.7769,0.47139,1.47246,1.17627,1.41295,0.0001354,0.0001354,0.0001354
133,6652.11,1.49009,1.45939,1.56685,0.78935,0.71634,0.76977,0.46964,1.45463,1.17982,1.41004,0.0001288,0.0001288,0.0001288
134,6702.23,1.50058,1.46135,1.59207,0.74772,0.72681,0.76734,0.46687,1.4748,1.16365,1.41529,0.0001222,0.0001222,0.0001222
135,6752.03,1.50253,1.44258,1.57464,0.81021,0.72268,0.79017,0.47518,1.4985,1.13656,1.43268,0.0001156,0.0001156,0.0001156
136,6807.81,1.37187,1.19258,1.51468,0.7769,0.72973,0.78041,0.48321,1.44863,1.13125,1.39771,0.000109,0.000109,0.000109
137,6857.99,1.3574,1.14795,1.50319,0.78099,0.7333,0.77876,0.48609,1.45992,1.12555,1.40248,0.0001024,0.0001024,0.0001024
138,6907.71,1.3533,1.14088,1.50067,0.79415,0.72928,0.7876,0.48629,1.45213,1.12415,1.40674,9.58e-05,9.58e-05,9.58e-05
139,6957.71,1.34665,1.13598,1.48986,0.78102,0.75879,0.80397,0.50401,1.40925,1.08998,1.37581,8.92e-05,8.92e-05,8.92e-05
140,7007.56,1.34876,1.13488,1.50123,0.77341,0.7639,0.80257,0.49801,1.43163,1.09571,1.38815,8.26e-05,8.26e-05,8.26e-05
141,7057.53,1.3457,1.12587,1.47905,0.78347,0.75323,0.80126,0.50342,1.42016,1.0853,1.3754,7.6e-05,7.6e-05,7.6e-05
142,7107.68,1.32995,1.10923,1.47981,0.77059,0.75368,0.79787,0.5003,1.4341,1.07565,1.37622,6.94e-05,6.94e-05,6.94e-05
143,7157.5,1.33153,1.0895,1.47128,0.78465,0.7757,0.80129,0.50545,1.40966,1.05393,1.36412,6.28e-05,6.28e-05,6.28e-05
144,7207.5,1.32128,1.09057,1.4671,0.79646,0.75832,0.80666,0.5082,1.40789,1.06211,1.36474,5.62e-05,5.62e-05,5.62e-05
145,7257.3,1.32274,1.10029,1.47811,0.78365,0.77463,0.80511,0.50387,1.41604,1.06413,1.36848,4.96e-05,4.96e-05,4.96e-05
146,7307.11,1.32083,1.08675,1.46789,0.79081,0.76053,0.80245,0.50982,1.407,1.06048,1.35756,4.3e-05,4.3e-05,4.3e-05
147,7357.27,1.31107,1.08516,1.45618,0.78652,0.76943,0.80597,0.51038,1.40534,1.05461,1.35334,3.64e-05,3.64e-05,3.64e-05
148,7407.27,1.30825,1.0685,1.45615,0.79155,0.76464,0.80595,0.51345,1.40352,1.05158,1.35587,2.98e-05,2.98e-05,2.98e-05
149,7457.49,1.29182,1.07151,1.44804,0.77403,0.78604,0.81309,0.52086,1.38276,1.03837,1.34661,2.32e-05,2.32e-05,2.32e-05
150,7507.15,1.30793,1.06369,1.45071,0.79188,0.77549,0.81453,0.51819,1.39382,1.03847,1.34857,1.66e-05,1.66e-05,1.66e-05
